steps,rewards
0,-48.9
7500,-50.0
15000,-3.0
22500,-1.8
30000,-1.3
37500,-2.3
45000,-1.7
52500,-1.7
60000,-1.7
67500,-1.5
75000,-1.6
82500,-2.0
90000,-1.7
97500,-1.6
105000,-1.9
112500,-1.8
120000,-2.0
127500,-2.0
135000,-1.7
142500,-2.0
150000,-1.1
157500,-1.4
165000,-2.1
172500,-1.7
180000,-1.7
187500,-1.6
195000,-2.0
202500,-1.6
210000,-2.0
217500,-1.6
225000,-2.3
232500,-1.7
240000,-1.6
247500,-1.9
255000,-2.0
262500,-1.4
270000,-1.5
277500,-1.7
285000,-2.1
292500,-1.2
300000,-1.8
307500,-1.3
315000,-1.3
322500,-1.3
330000,-2.0
337500,-2.1
345000,-1.7
352500,-1.5
360000,-2.0
367500,-2.2
